	layer_guess
16x30	4
17x29	1
17x31	2
17x33	5
17x35	4
18x26	1
18x28	2
18x30	2
18x32	4
18x34	4
18x38	2
18x40	1
19x25	1
19x27	1
19x29	4
19x31	5
19x33	5
19x35	2
19x37	5
19x39	5
19x41	4
20x20	4
20x22	7
20x24	1
20x26	6
20x28	2
20x30	1
20x32	6
20x34	5
20x36	1
20x38	7
20x40	1
20x42	2
20x44	2
20x46	2
20x50	8
21x19	4
21x21	7
21x23	0
21x25	1
21x27	3
21x29	5
21x31	5
21x33	5
21x35	3
21x37	1
21x39	2
21x41	2
21x43	2
21x45	0
21x47	8
21x49	8
21x51	8
22x18	3
22x20	1
22x22	9
22x24	4
22x26	1
22x28	8
22x30	1
22x32	5
22x34	3
22x36	7
22x38	6
22x40	3
22x42	1
22x44	0
22x46	2
22x48	8
22x50	8
22x54	8
22x56	8
22x58	8
23x17	7
23x19	0
23x21	0
23x23	3
23x25	1
23x27	0
23x29	2
23x31	3
23x33	0
23x35	5
23x37	3
23x39	3
23x41	5
23x43	4
23x45	2
23x47	3
23x49	8
23x51	8
23x55	8
23x57	3
23x59	3
23x61	8
24x16	4
24x18	1
24x20	4
24x22	2
24x24	1
24x26	0
24x28	5
24x30	3
24x32	4
24x34	7
24x36	3
24x38	7
24x40	0
24x42	3
24x44	4
24x46	2
24x48	8
24x50	8
24x52	8
24x54	8
24x56	8
24x58	3
24x60	3
24x62	4
25x15	2
25x17	4
25x19	2
25x21	2
25x23	0
25x25	6
25x27	3
25x29	5
25x31	9
25x33	5
25x35	2
25x37	3
25x39	2
25x41	7
25x43	6
25x45	2
25x47	9
25x49	8
25x51	8
25x53	2
25x55	5
25x57	2
25x59	3
25x61	3
26x16	5
26x18	3
26x20	9
26x22	5
26x24	4
26x26	2
26x28	0
26x30	3
26x32	2
26x34	6
26x36	3
26x38	7
26x40	3
26x42	0
26x44	2
26x46	5
26x48	2
26x50	0
26x52	3
26x54	7
26x56	2
26x58	3
26x60	3
26x62	2
27x15	1
27x17	0
27x19	0
27x21	2
27x23	2
27x25	7
27x27	0
27x29	0
27x31	3
27x33	1
27x35	5
27x37	0
27x39	2
27x41	5
27x43	2
27x45	2
27x47	2
27x49	2
27x51	1
27x53	4
27x55	4
27x57	2
27x59	3
27x61	3
28x16	1
28x18	3
28x20	1
28x22	4
28x24	3
28x26	4
28x28	1
28x30	3
28x32	1
28x34	3
28x36	5
28x38	4
28x40	2
28x42	1
28x44	1
28x46	0
28x48	6
28x50	6
28x52	0
28x54	3
28x56	2
28x58	3
28x60	3
28x62	5
28x8	3
29x11	4
29x17	0
29x19	9
29x21	4
29x23	3
29x25	0
29x27	0
29x29	3
29x31	1
29x33	3
29x35	1
29x37	0
29x39	7
29x41	1
29x43	9
29x45	6
29x47	2
29x49	5
29x51	0
29x53	2
29x55	1
29x57	7
29x59	3
29x61	2
29x9	1
30x10	6
30x16	4
30x18	0
30x20	0
30x22	2
30x24	2
30x26	3
30x28	5
30x30	6
30x32	7
30x34	7
30x36	3
30x38	6
30x40	2
30x42	3
30x44	2
30x46	9
30x48	5
30x50	5
30x52	3
30x54	1
30x56	2
30x58	3
30x60	2
30x62	2
30x8	9
31x11	5
31x13	3
31x15	4
31x17	0
31x19	0
31x21	7
31x23	4
31x25	4
31x27	1
31x29	1
31x31	1
31x33	6
31x35	7
31x37	2
31x39	0
31x41	0
31x43	2
31x45	0
31x47	1
31x49	1
31x51	6
31x53	9
31x55	2
31x57	4
31x59	2
31x61	2
31x9	4
32x10	6
32x12	4
32x14	0
32x16	0
32x18	3
32x20	0
32x22	7
32x24	0
32x26	1
32x28	3
32x30	1
32x32	1
32x34	4
32x36	2
32x38	3
32x40	7
32x42	2
32x44	4
32x46	1
32x48	5
32x50	4
32x52	7
32x54	0
32x56	4
32x58	2
32x60	5
32x62	4
32x8	1
33x11	1
33x13	4
33x15	0
33x17	4
33x19	0
33x21	1
33x23	0
33x25	3
33x27	1
33x29	3
33x31	6
33x33	3
33x35	0
33x37	3
33x39	2
33x41	0
33x43	3
33x45	4
33x47	5
33x49	4
33x51	2
33x53	4
33x55	0
33x57	2
33x59	2
33x61	0
33x9	0
34x10	3
34x12	5
34x14	4
34x16	1
34x18	4
34x20	0
34x22	0
34x24	0
34x26	1
34x28	6
34x30	1
34x32	1
34x34	2
34x36	5
34x38	1
34x40	1
34x42	0
34x44	2
34x46	5
34x48	9
34x50	3
34x52	4
34x54	4
34x56	4
34x58	9
34x60	5
34x62	3
34x8	6
35x11	6
35x13	0
35x15	1
35x17	3
35x19	2
35x21	4
35x23	1
35x25	3
35x27	3
35x29	3
35x31	1
35x33	3
35x35	3
35x37	3
35x39	7
35x41	4
35x43	2
35x45	2
35x47	6
35x49	2
35x51	5
35x53	2
35x55	3
35x57	2
35x59	2
35x61	2
35x7	6
35x9	0
36x10	4
36x12	1
36x14	1
