Layers,Batch Size,Learning Rate,Epochs,ARI,NMI
2,64,0.01,10,0.7852808706945386,0.7981303504292249
2,64,0.01,20,0.692918310170732,0.7410829469951007
2,64,0.01,50,0.7843774140961919,0.8258557300822684
2,64,0.01,100,0.7298914749340198,0.7861172716859303
2,64,0.001,10,0.8313701847452786,0.8361983912709007
2,64,0.001,20,0.7429910472253876,0.8056136161748606
2,64,0.001,50,0.8488530464188407,0.8484381573419192
2,64,0.001,100,0.8013683064427528,0.8160711346146373
2,256,0.01,10,0.8073938204814022,0.842258802214957
2,256,0.01,20,0.7421433705412911,0.7915166647372471
2,256,0.01,50,0.2766671363987976,0.47193004392685667
2,256,0.01,100,0.80906592998363,0.8618416060487334
2,256,0.001,10,0.8422751308791648,0.8581775184839265
2,256,0.001,20,0.48398144465301707,0.6607628227728055
2,256,0.001,50,0.6243126195922684,0.7271257002386782
2,256,0.001,100,0.8361212659219621,0.859817505436263
2,512,0.01,10,0.5075719766044705,0.6648026332411888
2,512,0.01,20,0.5886818516009176,0.7127365649656631
2,512,0.01,50,0.5158351438872186,0.6668244877663969
2,512,0.01,100,0.8269718427607186,0.8233797473915674
2,512,0.001,10,0.5444700251131852,0.6854971411451063
2,512,0.001,20,0.8938814511374387,0.888053066658914
2,512,0.001,50,0.7807184402702312,0.7964794808044684
2,512,0.001,100,0.8408005714953724,0.832515555463249
5,64,0.01,10,0.6185958573261587,0.7233322106223643
5,64,0.01,20,0.8379203874632026,0.8613563722121446
5,64,0.01,50,0.5652977719462582,0.7023744316380925
5,64,0.01,100,0.7109827233421913,0.7419501199533254
5,64,0.001,10,0.7534513516691425,0.7933625022526217
5,64,0.001,20,0.5782512709389702,0.7152989099519272
5,64,0.001,50,0.7805393168195122,0.8054776361621042
5,64,0.001,100,0.8465876756426411,0.8601781861276744
5,256,0.01,10,0.5291007397844645,0.6586561121876425
5,256,0.01,20,0.4651810620580262,0.6513989108228048
5,256,0.01,50,0.5934038674676152,0.692981622520036
5,256,0.01,100,0.5319153424584528,0.6699763097778197
5,256,0.001,10,0.677067430858039,0.7578527630694372
5,256,0.001,20,0.5537617063241091,0.7042197609774662
5,256,0.001,50,0.6071950168681949,0.7295829147386049
5,256,0.001,100,0.6531000172991667,0.7452080565753061
5,512,0.01,10,0.7153794088820443,0.7640784687947499
5,512,0.01,20,0.5160674412489981,0.6777476063377341
5,512,0.01,50,0.6701063129170313,0.7186327418026185
5,512,0.01,100,0.6302990058253787,0.6912299053142039
5,512,0.001,10,0.5755943842158805,0.6986297992946031
5,512,0.001,20,0.556370951687069,0.7400279310749156
5,512,0.001,50,0.6595653570975344,0.788135812146744
5,512,0.001,100,0.5239047469422512,0.6662095701477688
10,64,0.01,10,0.7623876037095176,0.7706478514349984
10,64,0.01,20,0.5915116340042293,0.6999882292051963
10,64,0.01,50,0.5191552274989928,0.713667125914647
10,64,0.01,100,0.7065595996969412,0.7719031377851765
10,64,0.001,10,0.55454386581795,0.680617897190434
10,64,0.001,20,0.6182041556688586,0.7294509480280941
10,64,0.001,50,0.7268031856063282,0.7739568231882299
10,64,0.001,100,0.5374581194905389,0.6784127710432338
10,256,0.01,10,0.5642175985009847,0.6853805670928441
10,256,0.01,20,0.6993198610850526,0.7788781422187357
10,256,0.01,50,0.6392968068826652,0.7040020506783998
10,256,0.01,100,0.5613638699849871,0.6823645591799362
10,256,0.001,10,0.680380755177854,0.7669427619597093
10,256,0.001,20,0.6933316891433305,0.8025177620634076
10,256,0.001,50,0.7089825222618192,0.7584718791423616
10,256,0.001,100,0.24737556694084237,0.4360458555379807
10,512,0.01,10,0.748152487465642,0.7731640950223175
10,512,0.01,20,0.8367445822418486,0.8624240067477241
10,512,0.01,50,0.6108986541706083,0.7102570142191641
10,512,0.01,100,0.7888912559624925,0.8372357750477075
10,512,0.001,10,0.5745115711735865,0.6887930814990224
10,512,0.001,20,0.6051087320799092,0.6815043013883825
10,512,0.001,50,0.731661136377614,0.7928949363491516
10,512,0.001,100,0.6298094727234923,0.7146060666284406
