Layers,Batch Size,Learning Rate,Epochs,ARI,NMI
2,64,0.01,10,0.6492732853605491,0.7827881038210205
2,64,0.01,20,0.7524967016621598,0.8429765624586286
2,64,0.01,50,0.6819944031464884,0.8056651920594098
2,64,0.01,100,0.6102392813828946,0.7829852616611183
2,64,0.001,10,0.6709992102961988,0.793628382841534
2,64,0.001,20,0.6764078585698151,0.7848703996406532
2,64,0.001,50,0.7935277722845534,0.8556173974825998
2,64,0.001,100,0.6708681237232605,0.7996873115909874
2,256,0.01,10,0.8402602580771619,0.8830713669769552
2,256,0.01,20,0.7493598402605204,0.8373159679018872
2,256,0.01,50,0.7304032520758319,0.8289097345142924
2,256,0.01,100,0.6967546720873202,0.8184775542824747
2,256,0.001,10,0.6006075770374171,0.7744565566517966
2,256,0.001,20,0.6150046919245882,0.7699601576811174
2,256,0.001,50,0.6434507624561002,0.7769228092368382
2,256,0.001,100,0.6804451564475776,0.7905939240435985
5,64,0.01,10,0.6006075770374171,0.7744565566517966
5,64,0.01,20,0.626248000619982,0.785222392473527
5,64,0.01,50,0.8987729953385873,0.9084918944722465
5,64,0.01,100,0.7269635945931378,0.8080878553976504
5,64,0.001,10,0.6432468302949816,0.7851420967801244
5,64,0.001,20,0.730918734552991,0.8130025224410443
5,64,0.001,50,0.7181665402620296,0.8345978982722094
5,64,0.001,100,0.5431550316652117,0.7343869615538945
5,256,0.01,10,0.5327774037470298,0.7435385648444492
5,256,0.01,20,0.6908885647307392,0.807151518156405
5,256,0.01,50,0.6847620893721165,0.8103016772711035
5,256,0.01,100,0.7065679498910518,0.7978838037351694
5,256,0.001,10,0.6495347737966852,0.7928877309628327
5,256,0.001,20,0.6800999364087471,0.8055132654238332
5,256,0.001,50,0.6542126470482658,0.7900689919958843
5,256,0.001,100,0.6542126470482658,0.7900689919958843
